id,name,release date,director,duration,genre
tt0054215,Psycho,8 September 1960 (USA),Alfred Hitchcock,109 min,"Horror,Mystery,Thriller"
tt0088993,Day of the Dead,19 July 1985 (USA),George A. Romero,96 min,"Action,Drama,Horror"
tt0032484,Foreign Correspondent,16 August 1940 (USA),Alfred Hitchcock,120 min,"Romance,Thriller,War"
tt0889671,Trumbo,27 June 2008 (USA),Peter Askin,96 min,"Documentary,Biography"
tt1325014,The People vs. George Lucas,29 August 2011 (USA),Alexandre O. Philippe,93 min,"Documentary,Comedy"
tt0065112,Topaz,19 December 1969 (USA),Alfred Hitchcock,143 min,Thriller
tt0074512,Family Plot,9 April 1976 (USA),Alfred Hitchcock,120 min,"Comedy,Thriller"
tt0092796,Creepshow 2,1 May 1987 (USA),Michael Gornick,92 min,"Comedy,Horror,Thriller"
tt0090021,Silver Bullet,11 October 1985 (USA),Daniel Attias,95 min,"Drama,Horror"
tt0102733,Pyrates,5 March 1992 (Germany),Noah Stern,,"Comedy,Romance"
tt0102741,Queens Logic,1 February 1991 (USA),Steve Rash,100 min,"Comedy,Drama"
tt1045642,Tales from the Script,10 January 2009 (USA),Peter Hanson,105 min,Documentary
tt0265666,The Royal Tenenbaums,4 January 2002 (USA),Wes Anderson,110 min,"Comedy,Drama"
tt0440963,The Bourne Ultimatum,3 August 2007 (USA),Paul Greengrass,115 min,"Action,Thriller"
tt0103772,Basic Instinct,20 March 1992 (USA),Paul Verhoeven,127 min,"Drama,Mystery,Thriller"
tt0250797,Unfaithful,10 May 2002 (USA),Adrian Lyne,124 min,"Drama,Romance,Thriller"
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,25 July 2003 (USA),Jan de Bont,117 min,"Action,Adventure,Fantasy"
tt0120616,The Mummy,7 May 1999 (USA),Stephen Sommers,125 min,"Action,Adventure,Fantasy"
tt0320691,Underworld,19 September 2003 (USA),Len Wiseman,121 min,"Action,Fantasy"
tt0401855,Underworld: Evolution,20 January 2006 (USA),Len Wiseman,106 min,"Action,Fantasy,Sci-Fi"
tt1323594,Despicable Me,9 July 2010 (USA),"Pierre Coffin,Chris Renaud",95 min,"Animation,Comedy,Family"
tt1453405,Monsters University,21 June 2013 (USA),Dan Scanlon,104 min,"Animation,Adventure,Comedy"
tt0120363,Toy Story 2,24 November 1999 (USA),"John Lasseter,Ash Brannon",92 min,"Animation,Adventure,Comedy"
tt1233219,"My Son, My Son, What Have Ye Done",8 July 2010 (Portugal),Werner Herzog,91 min,"Drama,Thriller"
tt1095217,Bad Lieutenant: Port of Call New Orleans,11 December 2009 (USA),Werner Herzog,122 min,"Crime,Drama"
tt1074638,Skyfall,9 November 2012 (USA),Sam Mendes,143 min,"Action,Adventure,Thriller"
tt0120611,Blade,21 August 1998 (USA),Stephen Norrington,120 min,"Action,Horror"
tt1756529,Get Lamp,26 March 2010 (USA),Jason Scott Sadofsky,,Documentary
tt0808299,High Score,11 March 2006 (USA),Jeremy Mack,52 min,Documentary
tt3393786,Jack Reacher 2,21 October 2016 (USA),Edward Zwick,,"Action,Crime,Drama"
tt0325710,The Last Samurai,5 December 2003 (USA),Edward Zwick,154 min,"Action,Drama,History"
tt0092099,Top Gun,16 May 1986 (USA),Tony Scott,110 min,"Action,Drama,Romance"
tt0120889,What Dreams May Come,2 October 1998 (USA),Vincent Ward,113 min,"Drama,Fantasy,Romance"
tt0064418,"Hello, Dolly!",16 December 1969 (USA),Gene Kelly,146 min,"Comedy,Musical,Romance"
tt0062994,Funny Girl,19 September 1968 (USA),William Wyler,151 min,"Biography,Comedy,Drama"
tt0034583,Casablanca,23 January 1943 (USA),Michael Curtiz,102 min,"Drama,Film-Noir,Romance"
tt0062622,2001: A Space Odyssey,15 May 1968 (UK),Stanley Kubrick,160 min,"Mystery,Sci-Fi"
tt0180093,Requiem for a Dream,15 December 2000 (USA),Darren Aronofsky,102 min,Drama
tt0090756,Blue Velvet,30 October 1986 (Argentina),David Lynch,120 min,"Crime,Drama,Mystery"
tt0120663,Eyes Wide Shut,16 July 1999 (USA),Stanley Kubrick,159 min,"Drama,Mystery,Thriller"
tt0056193,Lolita,12 June 1962 (USA),Stanley Kubrick,152 min,"Drama,Romance"
tt0022458,Tabu: A Story of the South Seas,19 March 1931 (USA),F.W. Murnau,86 min,"Drama,Romance,Adventure"
tt2490326,Cooties,18 September 2015 (USA),"Jonathan Milott,Cary Murnion",88 min,"Action,Comedy,Horror"
tt0923752,The King of Kong: A Fistful of Quarters,28 February 2008 (Australia),Seth Gordon,79 min,"Documentary,Biography,Sport"
tt1183696,Second Skin,7 August 2009 (USA),Juan Carlos Pineiro Escoriaza,94 min,Documentary
tt1836974,Ecstasy of Order: The Tetris Masters,2011 (USA),Adam Cornelius,,Documentary
tt2312464,The Video Craze,13 July 2013 (USA),Dave Danzara,90 min,"Documentary,Biography,Sport"
tt0462246,Darkon,11 March 2006 (USA),"Luke Meyer,Andrew Neel",93 min,"Documentary,Fantasy"
tt2427898,The Space Invaders: In Search of Lost Time,,Jeff Von Ward,85 min,"Documentary,Biography,History"
tt2395228,The King of Arcades,17 June 2014 (USA),Sean Tiedeman,100 min,Documentary
tt3908598,Lamb,14 March 2015 (USA),Ross Partridge,96 min,Drama
tt2403021,The Green Inferno,25 September 2015 (USA),Eli Roth,100 min,"Adventure,Horror"
tt0094737,Big,3 June 1988 (USA),Penny Marshall,104 min,"Comedy,Drama,Fantasy"
tt0364045,Taking Lives,19 March 2004 (USA),D.J. Caruso,103 min,"Crime,Mystery,Thriller"
tt0172493,"Girl, Interrupted",14 January 2000 (USA),James Mangold,127 min,"Biography,Drama"
tt1219342,Legend of the Guardians: The Owls of Ga'Hoole,24 September 2010 (USA),Zack Snyder,97 min,"Animation,Adventure,Fantasy"
tt0432283,Fantastic Mr. Fox,25 November 2009 (USA),Wes Anderson,87 min,"Animation,Adventure,Comedy"
tt3862750,The Perfect Guy,11 September 2015 (USA),David M. Rosenthal,100 min,"Drama,Thriller"
tt1253864,Immortals,11 November 2011 (USA),Tarsem Singh,110 min,"Action,Drama,Fantasy"
tt2131532,Hidden,15 September 2015 (USA),"Matt Duffer,Ross Duffer",84 min,"Horror,Thriller"
tt3316948,American Ultra,21 August 2015 (USA),Nima Nourizadeh,96 min,"Action,Comedy"
tt0099700,Gremlins 2: The New Batch,15 June 1990 (USA),Joe Dante,106 min,"Comedy,Horror"
tt0084516,Poltergeist,4 June 1982 (USA),Tobe Hooper,114 min,Horror
tt0096061,Scrooged,23 November 1988 (USA),Richard Donner,101 min,"Comedy,Drama,Fantasy"
tt0327554,Catwoman,23 July 2004 (USA),Pitof,104 min,Action
tt0087258,Final Justice,May 1985 (USA),Greydon Clark,90 min,"Action,Crime,Drama"
tt0315775,Anne B. Real,14 June 2003 (USA),Lisa France,91 min,Drama
