id,name,release date,director,duration,genre
city_of_missing_girls,City of Missing Girls,"Mar 27, 1941 Wide",Elmer Clifton,1 hr. 13 min.,"Drama,Mystery & Suspense,Classics"
gay_divorcee,The Gay Divorcee,"Oct 12, 1934 Limited",Mark Sandrich,1 hr. 47 min.,"Drama,Romance,Musical & Performing Arts,Classics,Comedy"
divorcee,The Divorcée,"Apr 19, 1930 Wide",Robert Z. Leonard,1 hr. 23 min.,"Drama,Romance,Classics"
1009470-hells_angels_on_wheels,Hells Angels on Wheels,"Jan 1, 1967 Wide",Richard Rush,1 hr. 35 min.,"Classics,Action & Adventure"
the-miracle-woman-1932,The Miracle Woman,"Jan 1, 1985 Wide",Ketan Mehta,,Drama
trader_hornee,Trader Hornee,"Dec 31, 1970 Wide","Jonathan Lucas,Tsanusdi,Don Tsanusdi",1 hr. 45 min.,"Action & Adventure,Classics,Comedy"
miracle_woman,The Miracle Woman,"Jul 20, 1931 Wide",Frank Capra,1 hr. 29 min.,"Drama,Comedy"
1006206-dr_jekyll_and_mr_hyde,Dr. Jekyll and Mr. Hyde,"Mar 18, 1920 Wide",John S. Robertson,1 hr. 36 min.,"Drama,Horror,Classics,Science Fiction & Fantasy"
1006207-dr_jekyll_and_mr_hyde,Dr. Jekyll and Mr. Hyde,"Dec 31, 1931 Limited",Rouben Mamoulian,1 hr. 36 min.,"Drama,Horror"
animal_crackers,Animal Crackers,"Aug 28, 1930 Limited",Victor Heerman,1 hr. 38 min.,"Classics,Comedy"
1006208-dr_jekyll_and_mr_hyde,Dr. Jekyll and Mr. Hyde,"Aug 12, 1941 Wide","Rouben Mamoulian,Victor Fleming",,"Drama,Horror,Classics,Science Fiction & Fantasy"
trader_horn,Trader Horn,"May 23, 1931 Wide",W.S. Van Dyke,2 hr. 3 min.,"Classics,Action & Adventure"
big_mommas_house,Big Momma's House,"Jun 2, 2000 Wide",Raja Gosnell,,"Action & Adventure,Comedy"
frankenstein_2015,Victor Frankenstein,"Nov 25, 2015 Wide",Paul McGuigan,,Drama
