ltable_id,rtable_id,label
tt0080354,alligator,1
tt0834001,zone_of_the_dead,0
tt0055781,1016369-pit_and_the_pendulum,0
tt0172156,collateral,0
tt2403029,video_games_the_movie,0
tt0120744,iron_giant,0
tt0092675,true_blood,0
tt0044672,greatest_show_on_earth,1
tt3081268,reaper_2015,1
tt0037303,sherlock_holmes_and_the_woman_in_green,0
tt0113748,1061809-malicious,1
tt0144084,american_beauty,0
tt2025690,the_grand_budapest_hotel,0
tt0078723,1941,1
tt0115798,craft,0
tt0279688,beyond_the_sea_2005,0
tt0057193,its_a_mad_mad_mad_mad_world,1
tt0095271,halloween_4_the_return_of_michael_myers,1
tt1172994,clash_of_the_titans_2010,0
tt0099512,ernest-scared-stupid,0
tt0069280,slaughterhouse_five,1
tt1691917,planes,1
tt0104511,innocent_blood,1
tt2281159,contracted,1
tt0373152,beyond_the_sea,0
tt0087799,1004047-children_of_the_corn,0
tt0040369,fort_apache,1
tt0120157,magnolia,0
tt1762399,walking_with_dinosaurs_3d,1
tt0014341,the_last_man_on_earth_1924,0
tt4028134,transformers_age_of_extinction,0
tt3543918,now_you_see_me_the_second_act,0
tt0848557,diary-of-the-dead2007,1
tt0343660,first_daughter,0
tt0031381,holiday,0
tt0050371,miracle_in_the_rain,0
tt1398426,friday_20th_anniversary,0
tt0032455,fantasia,1
tt0109838,daybreak_1993,0
tt1131734,jennifers_body,1
tt2578608,christmas_belle,0
tt0443272,the_adventures_of_tintin_the_imax_experience,0
tt0113987,natural_born_killers,0
tt0380623,the-best-man2006,0
tt0990407,green_hornet,1
tt0112851,desperado,1
tt1205558,hick_2012,1
tt0167427,1093874-superstar,1
tt3532976,the-croods,0
tt2095742,paranormal_activity_4_2012,0
tt0362165,phantom_of_the_opera,0
tt0114508,1047985-getaway,0
tt1618442,the_last_witch_hunter,1
tt1855199,end_of_watch,1
tt0040694,paleface,0
tt2420166,how_to_change_the_world,0
tt0086050,hell_night,0
tt0045810,1014138-monkey_business,0
tt0443536,1155109-hoodwinked,1
tt0363473,sinbad_legend_of_the_seven_seas,0
tt2314824,behaving_badly_2014,1
tt0161100,waterboy,0
tt0024184,1061171-old_dark_house,0
tt0097625,critters_2_the_main_course,0
tt2071550,crave_2013,0
tt0108525,waynes_world,0
tt3346224,zipper,1
tt1312237,cold_souls,0
tt0101757,dangerous_game_1990,0
tt0811138,longshots,0
tt1073498,epic_movie,0
tt1145157,chaos_theory,0
tt0431213,lassie,1
tt0457433,the_strangers,0
tt0273923,orange_county,1
tt1521877,south-of-the-border,0
tt3165236,snow_girl_and_the_dark_crystal,0
tt0167059,1081497-boxer,0
tt0051622,kronos,0
tt1253864,immortals_2011,1
tt0294870,1152276-rent,1
tt0466909,the_boxers_omen_2006,0
tt0118755,1081203-borrowers,1
tt0190138,whole_nine_yards,1
tt0037913,1015000-night_and_day,0
tt0949731,the-hive,0
tt0343660,longest_yard,0
tt2275471,pitch_perfect,0
tt2243537,safe_house_2012,0
tt3235888,it_follows,1
tt1031969,hurt_locker,0
tt0242653,evolution2002,0
tt1401152,unknown_white_male,1
tt0405325,1142872-sky_high,1
tt0043778,1017062-radar_men_from_the_moon,0
tt3442006,the_keeping_room,0
tt1606389,the_vow_2012,1
tt0104291,wild_hearts_cant_be_broken,0
tt0050147,godzilla_king_of_the_monsters,0
tt0413300,spiderman_3,1
tt0105415,single_white_female,0
tt1172994,house_of_the_devil,1
tt0057518,mary_poppins,0
tt2755016,the_motivation_2013,1
tt0077416,deer_hunter,1
tt2756032,the_quiet_ones_2013,0
tt0352248,cinderella_man,1
tt1298649,jingle_all_the_way_2011,0
tt0090056,1021312-three_amigos,0
tt1175709,where_the_wild_things_are,0
tt0120510,sixth_sense,0
tt2118624,the_danish_girl_2015,0
tt3307800,the_east_2013,0
tt1214962,justice_2011,1
tt1536044,paranormal_activity,0
tt0087796,1015060-night_patrol,0
tt3165236,god_the_father,0
tt0418819,phantom_of_the_opera,0
tt1411250,riddick,1
tt0259711,almost_famous,0
tt1390535,final_destination_final_death_trip_3D,0
tt0397065,man_of_the_house,0
tt0081974,tootsie,0
tt0799954,the-best-man2006,0
tt2870648,amy_2015,1
tt0259182,american_beauty,0
tt0244000,american_pie_2,0
