id,name,votes,rating,phone,address,zip,cuisine
0,Strings Ramen Shop,15,3.1,(312) 374-3450,"2141 S. Archer Avenue, Chicago",60616,"Asian,Chinese,Ramen"
1,Francesco's Hole In The Wall,179,4,(847) 272-0155,254 Skokie Boulevard,60062,Italian
3,Four Belly,12,3,(773) 661-6182,"3227 N. Clark Street, Chicago",60657,"Asian,BBQ,Japanese"
4,Max's Take Out,60,4.6,(312) 553-0170,"20 E. Adams Street, Chicago",60603,"American,Burger"
5,BluFish Sushi Bistro,150,4,(847) 272-7990,"Plaza Del Prado, 2733 Pfingsten Road",60026,"Sushi,Japanese"
6,Rockwell's Neighborhood Grill,152,3.9,(773) 509-1871,"4632 N. Rockwell Street, Chicago",60625,"American,Burger,Tex-Mex"
7,Father & Son,145,4.1,(773) 252-2620,"2475 N. Milwaukee Avenue, Chicago",60647,Italian
8,Volare Ristorate,95,4.1,(630) 495-0200,1919 S. Meyers Road,60181,Italian
10,Molly's Cupcakes,459,4.3,(773) 883-7220,"2536 N. Clark Street, Chicago",60614,"Desserts,Bakery"
11,Chicago's Pizza,44,3.4,(773) 477-2777,"3114 N. Lincoln Avenue, Chicago",60657,"Pizza,Italian,American"
12,J.B. Alberto's Pizza,167,4.1,(773) 973-1700,"1326 W. Morse Avenue, Chicago",60626,"Pizza,American"
13,Conte Di Savoia,101,3.7,(773) 666-3471,1438 W. Taylor Street,60607,"Desserts,Italian,Sandwich"
14,The Happ Inn Bar & Grill,141,3.5,(847) 784-9200,"The Shops Of Northfield Village Square, 305 Happ Road",60093,American
15,Timothy O'Toole's,147,3.6,(847) 249-0800,5572 Grand Avenue,60031,"American,Bar Food"
16,Beelow's Steakhouse,92,3.7,(847) 540-0600,763 S. Rand Road,60047,"American,Seafood,Steakhouse"
17,Bill's Pizza & Pub,167,3.7,(847) 566-5380,624 S. Lake Street,60060,"Pizza,American"
18,Jimmy's Charhouse,121,3.4,(847) 923-5000,1180 W Devon Avenue,60007,"American,Steakhouse"
19,Doc B's Fresh Kitchen,29,3.4,(312) 626-1300,"Walton Colonnade, 100 E. Walton Street, Chicago",60611,American
20,Lovely Thai Restaurant,66,3.7,(847) 231-6442,1144 E. Washington Street,60030,Thai
21,Sixteen,99,3.7,(312) 588-8001,"Trump Hotel, 401 N. Wabash Avenue, Chicago",60611,New American
22,Ted's Montana Grill,59,3.4,(630) 783-2493,623 E. Boughton Road Suite 110,60440,"American,Burger,Steakhouse"
23,Ditka's,84,3.7,(630) 572-2200,"2 Mid America Plaza, Suite 100, Oakbrook Terrace",60181,"American,Steakhouse"
24,Andie's,49,3.3,(773) 348-0654,"1467 W. Montrose Avenue, Chicago",60613,"Mediterranean,Middle Eastern"
25,Bistronomic,82,3.9,(312) 944-8400,"840 N. Wabash Avenue, Chicago",60611,French
26,Ja' Grill,100,3.6,(773) 752-5375,"Harper Court Shops, 1510 E. Harper Court, Chicago",60615,Caribbean
27,Orange,76,3.7,(773) 248-0999,"2011 W. Roscoe Street, Chicago",60618,American
28,Chicago's Busy Burger,57,4,(312) 226-7760,"1120 W. Taylor Street, Chicago",60607,Burger
29,Joe Fish,17,2.2,(312) 832-7700,"445 N. Dearborn Street, Chicago",60654,"Seafood,American,Italian"
30,The Sit Down Cafe & Sushi Bar,135,3.9,(773) 324-3700,"1312 E. 53rd Street, Chicago",60615,"Sushi,Sandwich,Pizza,Italian"
31,Gaslight Coffee Roasters,14,3.2,Not Available,"2385 N. Milwaukee Avenue, Chicago",60647,Cafe
32,Glenn's Diner,486,4,(773) 506-1720,"1820 W. Montrose Avenue, Chicago",60613,"American,Seafood"
33,Hong Min Restaurant,118,3.9,(708) 599-8488,8048 W 111th Street,60465,Chinese
34,Scooby's Red Hots,115,3.7,(630) 231-4848,1020 E. North Avenue,60185,"Fast Food,American,Burger"
35,Silo Restaurant,137,3.9,(847) 234-6660,625 Rockland Road,60044,"Pizza,Sandwich,American"
36,Fleming's Prime Steakhouse & Wine Bar,78,4.3,(312) 329-9463,"25 E. Ohio Street, Chicago",60611,Steakhouse
37,Pita Inn,158,4,(847) 808-7733,122 S. Elmhurst Road,60090,"Middle Eastern,Mediterranean"
38,Hachi's Kitchen,235,3.7,(773) 276-8080,"2521 N. California Avenue, Chicago",60647,"Japanese,Sushi"
39,The Snail Thai Cuisine,160,4.1,(773) 667-5423,"1649 E. 55th Street, Chicago",60615,"Seafood,Thai"
40,Erie Cafe,108,3.5,(312) 266-2300,"536 W. Erie Street, Chicago",60610,"American,Italian,Steakhouse"
41,Meli Cafe,36,3.7,(312) 834-0500,"500 S. Dearborn Street, Chicago",60605,"American,Healthy Food"
