id,name,votes,rating,phone,address,zip,cuisine
0,Patino’s Grill,35,5,(773) 280-9562,2943 W Irving Park Rd,60618,American (Traditional)
1,Grandma J’s Local Kitchen,188,4,(773) 227-3626,1552 N Kedzie Ave,60651,Breakfast & Brunch
2,Ada Street,340,4.5,(773) 697-7069,1664 N Ada St,60642,Bars
3,Fuh,104,4.5,(773) 270-4418,2218 N Lincoln Ave,60614,Vietnamese
4,Staropolska Restaurant,286,4.5,(773) 342-0779,3030 N Milwaukee Ave,60618,Polish
5,Dusek’s,432,4,(312) 526-3851,1227 W 18th St,60608,Bars
6,Kai Zan,462,4.5,(773) 278-5776,2557 W Chicago Ave,60622,Asian Fusion
7,Mirador,34,4.5,(773) 904-7431,2834 N Southport Ave,60657,French
8,The 3rd Coast,396,4,(312) 649-0730,1260 N Dearborn Pkwy,60610,Wine Bars
9,Wasabi,908,4,(773) 227-8180,2115 N Milwaukee Ave,60647,Ramen
10,The Roost Carolina Kitchen,10,4.5,(312) 877-5738,455 N Milwaukee Ave,60654,Southern
11,Xoco,2803,4,(312) 661-1434,449 N Clark St,60654,Mexican
12,RJ Grunts,638,4,(773) 929-5363,2056 N Lincoln Park W,60614,American (Traditional)
13,Lula Cafe,1371,4,(773) 489-9554,2537 N Kedzie Blvd,60647,American (New)
14,La Sirena Clandestina,272,4,(312) 226-5300,954 W Fulton Market,60607,Latin American
15,The Dawson,406,4,(312) 243-8955,730 W Grand Ave,60654,American (Traditional)
16,Charlatan,155,4,(312) 818-2073,1329 W Chicago Ave,60642,Italian
17,Zachi,202,4.5,(773) 327-0000,1406 W Belmont Ave,60657,Mediterranean
18,Zizi’s Cafe,351,4.5,(773) 697-9228,2825 N Sheffield Ave,60657,Mediterranean
19,Moon’s Sandwich Shop,80,4,(312) 226-5094,16 S Western Ave,60612,Sandwiches
20,Wildberry Pancakes and Cafe,1666,4.5,(312) 938-9777,130 E Randolph St,60601,Breakfast & Brunch
21,Velvet Taco,299,4,(312) 763-2654,1110 N State St,60610,American (New)
22,The Aberdeen Tap,214,4.5,(312) 929-3845,440 N Aberdeen St,60642,Bars
23,Kitchen 17,138,4.5,(773) 661-1757,613 W Briar Pl,60657,American (New)
24,El Milagro Tortilleria,120,4,(773) 579-6120,3050 W 26th St,60623,Ethnic Food
25,El Cubanito,192,4.5,(773) 235-2555,2555 N Pulaski Rd,60639,Cuban
26,Naf Naf Grill,194,4.5,(312) 263-0019,326 N Michigan Ave,60601,Middle Eastern
27,Cafecito,239,4.5,(312) 263-4750,7 N Wells St,60602,Cuban
28,The Big State,46,4.5,(312) 631-3914,624 N Ashland Ave,60622,Tex-Mex
29,Volare Ristorante Italiano,1131,4,(312) 410-9900,201 E Grand Ave,60611,Italian
30,Nando’s Peri-Peri,232,4,(312) 488-3062,953 W Randolph St,60607,South African
31,Bar Siena,179,4,(312) 492-7775,832 W Randolph St,60607,Italian
32,The Angry Crab,340,4,(773) 784-6848,5665 N Lincoln Ave,60659,Seafood
33,The Monkey’s Paw,144,4,(773) 413-9314,2524 N Southport Ave,60614,Bars
34,90 Miles Cuban Café,619,4,(773) 248-2822,3101 N Clybourn Ave,60618,Cuban
35,Pl-zen,191,4,(312) 733-0248,1519 W 18th St,60608,Gastropubs
36,Chi Cafe,644,4,(312) 842-9993,2160 S Archer AveSte A,60616,Chinese
37,Kameya,138,4.5,(773) 935-3474,806 W Webster Ave,60614,Japanese
38,Bryn Mawr Breakfast Club,191,4.5,(872) 208-7079,3401 W Bryn Mawr Ave,60659,Breakfast & Brunch
39,Green Street Smoked Meats,592,4,(312) 754-0431,112 N Green St,60607,Barbeque
40,Beatrix,763,4,(312) 284-1377,519 North Clark Street,60654,American (New)
41,Carriage House,487,4,(773) 384-9700,1700 W Division St,60622,Southern
42,Restaurante El Mogote,29,5,(773) 463-5612,4959 N Kedzie Ave,60625,Mexican
43,Mother Cluckers Kitchen,170,4.5,(773) 685-4630,5200 N Elston Ave,60630,Southern
44,Señor Pan Café,118,4.5,(773) 227-9601,2615 W North Ave,60647,Cuban
